#Copyright 2010, 2011, 2012 Am Faclair Beag
#
#   This program is free software: you can redistribute it and/or modify
#   it under the terms of the GNU General Public License as published by
#   the Free Software Foundation, either version 3 of the License, or
#   (at your option) any later version.
#
#   This program is distributed in the hope that it will be useful,
#   but WITHOUT ANY WARRANTY; without even the implied warranty of
#   MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE.  See the
#   GNU General Public License for more details.
#
#   You should have received a copy of the GNU General Public License
#   along with this program.  If not, see <http://www.gnu.org/licenses/>.
101,cuir bó air seilbh,NULL
102,cha chòir dhut,NULL
2,"gorm, ghorm, guirme, ghuirme, , , gorma, ghorma, guirm, ghuirm, guirme, ghuirme, guirm, ghuirm, , ",Adjective
3,"togam, tog, togadh, togamaid, togaibh, togadh, togail, thogail, , , , , , , , , , , , , , , togaidh, thogas, tog, thog, thog, do thog, togta, thogta, thogainn, thogadh, thogamaid, togainn, thogainn, togadh, thogadh, togamaid, thogamaid, togar, togtar, togar, thogar, togar, thogar, thogadh, do thogadh, thogte, thogaiste, thogaist, togte, togaiste, togaist, thogte, thogaiste, thogaist, , ",None
4,"an-seo, ana-sheo, a-seo, an seo, a-sheo, ",Adjective
5,"deoch-bhiugh, dheoch-bhiugh, deoch-bhiughan, dheoch-bhiughan",None
6,"taigh, tigh, thaigh, thigh, taighe, tighe, thaighe, thighe, , , , , , , thaigh, taighean, tighean, thaighean, thighean, , , , , , , taighibh, tighibh, thaighibh, thighibh, taighean, thaighean, , , , , , , thaighean, , , ",Common Masculine Noun
7,"mac, mhac, mic, mhic, , , , , , , mhic, mic, mhic, , , , , , , macaibh, mhacaibh, mac, mhac, , , , , , , mhaca, , 'ic, ",Common Masculine Noun
8,"dealbh, dhealbh, deilbh, dheilbh, , , , , , , dheilbh, dealbhan, dhealbhan, , , , , , , dealbhaibh, dhealbhaibh, dealbhan, dhealbhan, , , , , , , dhealbhan, , , ",Common Masculine Noun
9,"leabhar, leabhar, leabhair, leabhair, , , , , , , leabhair, leabhraichean, , , , , , , , leabharaibh, leabharaibh, leabhraichean, , , , , , , , leabhraichean, , , ",Common Masculine Noun
10,"caileag, chaileag, caileig, chaileig, caileige, chaileige, , , , , , , chaileag, caileagan, chaileagan, , , , , , , caileagaibh, chaileagaibh, caileagan, chaileagan, , , , , , , chaileagan, , ",Common Feminine Noun
11,"uinneag, uinneag, uinneig, uinneig, uinneige, uinneige, , , , , , , uinneag, uinneagan, uinneagan, , , , , , , uinneagaibh, uinneagaibh, uinneagan, uinneagan, , , , , , , uinneagan, , ",Common Feminine Noun
12,"seòlta, sheòlta",None
13,"freagarrach, fhreagarrach, freagarraiche, fhreagarraiche, , , freagarrach, fhreagarrach, freagarraich, fhreagarraich, freagarraiche, fhreagarraiche, freagarraich, fhreagarraich, , ",Adjective
14,"dobhran, dhobhran, dobhrain, dhobhrain, , , , , , , dhobhrain, dobhrain, dhobhrain, , , , , , , dobhranaibh, dhobhranaibh, dobhran, dhobhran, , , , , , , dhobhrana, , , ",Common Masculine Noun
15,"fliuch, fhliuch, fliche, fhliche, , , fliucha, fhliucha, flich, fhlich, fliche, fhliche, flich, fhlich, , ",Adjective
16,"Chathair Cheann Tulaich, Cathair Ceann Tulaich, Cair Ceann Tulaich",None
17,"Na h-Eileanan Siar, nan Eilean Siar",None
18,"theab, theabadh, theabas",None
19,"Dòmhnall, Dòmhnull, Dhòmhnall, Dhòmhnull, Dhòmhnaill, Dòmhnaill, Dòmhnuill, , Dhòmhnaill, , ",Masculine Names
20,"dùineam, dùin, dùineadh, dùineamaid, dùinibh, dùineadh, dùnadh, dhùnadh, , , , , , , , , , , , , , , dùinidh, dhùineas, dùin, dhùin, dhùin, do dhùin, dùinte, dhùinte, dhùininn, dhùineadh, dhùineamaid, dùininn, dhùininn, dùineadh, dhùineadh, dùineamaid, dhùineamaid, dùinear, dùintear, dùinear, dhùinear, dùinear, dhùinear, dhùineadh, do dhùineadh, dhùinte, dhùiniste, dhùinist, dùinte, dùiniste, dùinist, dhùinte, dhùiniste, dhùinist, , ",None
21,"a, ",Other (create single empty record)
22,"a, a h-, ",Other (create single empty record)
23,"a, ",Other (create single empty record)
24,"a, ",Other (create single empty record)
25,"asam, asamsa, asam-sa, , , asad, asadsa, asad-sa, , , ás, ás-san, às, às-san, , aiste, aistese, aiste-se, aisde, aisdese, aisde-se, , asainn, asainne, , , asaibh, asaibhse, asaibh-se, , , asta, astasan, asta-san, asda, asdasan, asda-san, , ás an, ás a', às an, às a', , , ás na, às na, , , á, à, ",Adjective
26,"déiseag, dhéiseag, déiseig, dhéiseig, déiseige, dhéiseige, , , , , , , dhéiseag, déiseagan, dhéiseagan, , , , , , , déiseagaibh, dhéiseagaibh, déiseagan, dhéiseagan, , , , , , , dhéiseagan, , ",Common Feminine Noun
27,"abhag, abhag, abhaig, abhaig, abhaige, abhaige, , , , , , , abhag, abhagan, abhagan, , , , , , , abhagaibh, abhagaibh, abhagan, abhagan, , , , , , , abhagan, , ",NULL
28,"abhainn, abhainn, abhainn, abhainn, aibhne, , , , , , , , abhainn, aibhnichean, , , , , , , , abhainnibh, abhainnibh, , , , , , , , , , , ",Common Feminine Noun
105,ri linn na h-éiginn,None
104,"mo, m', ",Other (create single empty record)
103,uair no uaireigin,Adjective
1,"uisge, uisgean, uisgeachan, t-uisge, h-uisgeachan, n-uisge",Common Masculine Noun
106,cho sàmhach ri cearban-gréine,NULL
107,loisg càl teth mi roimhe!,NULL
108,seas air do chasan,NULL
109,tha an Fhéinn air a h-uilinn,NULL
110,"tha sin taghte orm, tha sin taghta orm",None
111,'s an déidh sin,NULL
112,an leabhar a bha air chall orm,None
113,a bharrachd,None
114,a chuireadh feum air leasachadh,NULL
115,ach gu mór air a chaochladh,None
116,ach is fheairrde mi a bhith,NULL
117,agus an samh sin a' gabhail mu na cuinneanan,NULL
118,agus guma fada bhuam e gu bràth,NULL
119,agus phronn e na h-iseanan 'na àite,NULL
120,agus thuit a' chuileag marbh is a' sìneadh nan ràmhan,NULL
121,air a shon sin,NULL
122,air a tha brath air,NULL
123,air am bi thu a' cur feum,NULL
124,air m' amhaich-sa,NULL
125,air mo chomhairle,NULL
126,anns an eadar-àm,None
127,... a-réir,NULL
128,"arsa, ars', ars, orsa, ors', ors, ",Other (create single empty record)
129,bhon a bha thu fo na sparran agam,NULL
130,ciamar a bhiodh,NULL
131,cuideachd,NULL
132,... eadar gach salachar a dh'ith e,None
133,fada nan cian,NULL
134,far an do thoill e a bhith,NULL
135,far an togair e,None
136,'ga leadairt,NULL
137,'ga loireadh,NULL
138,'ga roinn air a chéile,None
139,'ga tràigheadh air fuil,NULL
140,... 'gad thoirt a mhòinteach,NULL
141,'gad thoirt air falbh,NULL
